Nummer;Spalte;Modell;Intervall;Wahrscheinlichkeit
2.0;Privat_Wartezeit_mean;lognorm;12-16 Wochen;0.026450846103732717
2.0;Privat_Wartezeit_mean;lognorm;16-45 Wochen;0.042550482169776194
2.0;Privat_Wartezeit_mean;gamma;0-4 Wochen;0.6037399922623655
2.0;Privat_Wartezeit_mean;gamma;4-8 Wochen;0.18116458377095512
2.0;Privat_Wartezeit_mean;gamma;8-12 Wochen;0.09216701561441276
2.0;Privat_Wartezeit_mean;gamma;12-16 Wochen;0.050870846348954224
2.0;Privat_Wartezeit_mean;gamma;16-45 Wochen;0.07009146379793108
2.0;Privat_Wartezeit_mean;weibull;0-4 Wochen;0.6561524876022609
2.0;Privat_Wartezeit_mean;weibull;4-8 Wochen;0.1616602829862237
2.0;Privat_Wartezeit_mean;weibull;8-12 Wochen;0.07545276822314406
2.0;Privat_Wartezeit_mean;weibull;12-16 Wochen;0.04058154773960465
2.0;Privat_Wartezeit_mean;weibull;16-45 Wochen;0.06185529802443446
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;0-4 Wochen;0.17335260925668206
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;4-8 Wochen;0.19965559640148567
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;8-12 Wochen;0.14178339076240598
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;12-16 Wochen;0.1005261862815009
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;16-45 Wochen;0.2722764854762869
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;0-4 Wochen;0.11823400078540322
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;4-8 Wochen;0.17910436629380114
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;8-12 Wochen;0.16817792630664935
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;12-16 Wochen;0.13921549934384775
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;16-45 Wochen;0.36422420415981527
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;0-4 Wochen;0.08776880403900125
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;4-8 Wochen;0.15851276922145766
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;8-12 Wochen;0.17430701894370176
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;12-16 Wochen;0.16055153034850578
3.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;16-45 Wochen;0.40935627791849316
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;0-4 Wochen;0.5711769223583747
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;4-8 Wochen;0.15819735667446655
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;8-12 Wochen;0.07665660825775278
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;12-16 Wochen;0.04537266605351631
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;16-45 Wochen;0.10272567379393915
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;0-4 Wochen;0.49519902907204116
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;4-8 Wochen;0.2072886656430587
3.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;8-12 Wochen;0.11677592840776085
