Nummer;Spalte;Intervall;Wahrscheinlichkeit_Mittel
5.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
5.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
5.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
5.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
5.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
5.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
5.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
5.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
5.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
5.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
6.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
6.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
6.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
6.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
6.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
6.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
6.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
6.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
6.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
6.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
6.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
6.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
6.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
6.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
6.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
6.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
6.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
6.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
6.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
6.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
7.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
7.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
7.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
7.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
7.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
7.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
7.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
7.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
7.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
7.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
7.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
7.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
7.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
7.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
7.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
7.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
7.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
7.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
7.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
7.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
8.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
8.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
8.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
8.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
8.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
8.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
8.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
8.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
8.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
8.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
8.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
8.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
8.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
8.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
8.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
8.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
8.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
8.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
8.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
8.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
9.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
9.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
9.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
9.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
9.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
9.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
9.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
9.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
9.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
9.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
9.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
9.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
9.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
9.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
9.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
9.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
9.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
9.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
9.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
9.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
10.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
10.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
10.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
10.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
10.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
10.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
10.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
10.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
10.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
10.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
10.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
10.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
10.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
10.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
10.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
10.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
10.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
10.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
10.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
10.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
11.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
11.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
11.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
11.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
11.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
11.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
11.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
11.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
11.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
11.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
11.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
11.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
11.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
11.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
11.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
11.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
11.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
11.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
11.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
11.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
12.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
12.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
12.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
12.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
12.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
12.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
12.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
12.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
12.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
12.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
12.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
12.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
12.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
12.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
12.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
12.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
12.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
12.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
12.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
12.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
13.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
13.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
13.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
13.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
13.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
13.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
13.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
13.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
13.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
13.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
13.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
13.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
13.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
13.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
13.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
13.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
13.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
13.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
13.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
13.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
14.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
14.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
14.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
14.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
14.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
14.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
14.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
14.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
14.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
14.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
14.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
14.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
14.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
14.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
14.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
14.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
14.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
14.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
14.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
14.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
15.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
15.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
15.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
15.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
15.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
15.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
15.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
15.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
15.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
15.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
15.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
15.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
