;count;mean;std;min;25%;50%;75%;max;varianz;median
Gesetzlich_bis_Beh_Wartezeit_mean;6.0;84.58333333333333;46.59873031174419;12.0;74.625;84.25;95.0;157.0;2171.4416666666666;84.25
Gesetzlich_bis_Vorgespräch_Wartezeit_mean;5.0;67.53333333333333;63.9003564587519;5.0;12.0;51.0;133.0;136.66666666666666;4083.2555555555555;51.0
Vorgespräch_bis_Beh_mean;3.0;37.5;33.90058996536786;7.0;19.25;31.5;52.75;74.0;1149.25;31.5
Privat_Wartezeit_mean;7.0;7.142857142857143;5.3752076371854836;1.0;3.25;5.5;10.5;16.0;28.89285714285715;5.5
