Spalte;Mittelwert;Standardabweichung;Varianz;Anzahl_Werte
Gesetzlich_bis_Beh;113.33333333333333;82.35268612668747;6781.964912280702;39
Gesetzlich_bis_Vorgespräch;48.666666666666664;69.13499156594676;4779.647058823531;18
Vorgespräch_bis_Beh;37.666666666666664;45.757513044307814;2093.75;9
Privat_bis_Beh;40.116279069767444;79.37890126965357;6301.009966777409;43
