;count;mean;std;min;25%;50%;75%;max;varianz;median
Gesetzlich_bis_Beh_Wartezeit_mean;20.0;118.00833333333335;67.0839457311047;1.0;71.04166666666667;124.75;160.625;283.0;4500.255774853802;124.75
Gesetzlich_bis_Vorgespräch_Wartezeit_mean;7.0;20.142857142857142;22.577116522625083;1.0;5.25;13.0;28.5;59.5;509.7261904761906;13.0
Vorgespräch_bis_Beh_mean;4.0;30.25;27.765386124933805;8.0;13.25;21.5;38.5;70.0;770.9166666666666;21.5
Privat_Wartezeit_mean;25.0;42.48666666666667;70.10199117476384;3.0;6.0;8.0;37.0;283.0;4914.2891666666665;8.0
